policy,split,episode,return,revenue,procurement,holding,stockout_penalty,fill_rate,stockout_units,avg_inventory,avg_order_quantity,price_changes
Q Learning,test,22,771.9482720000002,4232.060000000001,2582.1264000000024,40.411104,713.8040000000001,0.8049263873159683,689.0,24.466666666666665,23.45,71.0
Q Learning,test,23,624.6163600000002,3827.2799999999993,2505.048000000001,77.18851200000002,504.53200000000004,0.8416260162601626,487.0,46.733333333333334,22.75,79.0
Q Learning,test,24,827.0914920000002,4012.4280000000003,2684.897600000002,93.30615599999999,293.18800000000005,0.906631474760805,283.0,56.49166666666667,24.383333333333333,61.0
Q Learning,test,25,798.8964799999997,3575.384000000001,2241.6968000000015,66.039672,352.24,0.8780925062746504,340.0,39.983333333333334,20.358333333333334,76.0
Q Learning,test,26,912.9648560000002,4064.9680000000003,2768.399200000003,91.66823999999995,162.652,0.9474036850921274,157.0,55.5,25.141666666666666,72.0
Q Learning,test,27,849.5057960000004,4288.7440000000015,2652.7816000000016,45.57260400000001,615.3839999999999,0.830527817403709,594.0,27.591666666666665,24.091666666666665,80.0
Q Learning,test,28,1028.6675520000001,3771.6319999999996,2440.8160000000025,98.770464,83.916,0.969843633655994,81.0,59.8,22.166666666666668,73.0
Q Learning,test,29,803.092364,3895.360000000001,2627.0888000000023,68.255676,266.25200000000007,0.9122267759562842,257.0,41.325,23.858333333333334,87.0
Q Learning,test,30,715.2095800000002,4205.272000000002,2697.7440000000024,55.37257199999999,612.2759999999998,0.8265336072791312,591.0,33.525,24.5,80.0
Q Learning,test,31,714.8481400000002,3365.6680000000006,2248.1200000000013,82.322484,212.38,0.9185538339292809,205.0,49.84166666666667,20.416666666666668,76.0
Q Learning,test,32,618.4398720000003,4292.888000000001,2774.8224000000027,46.35715199999998,730.3800000000002,0.8021885521885522,705.0,28.066666666666666,25.2,83.0
Q Learning,test,33,601.6571959999999,3522.695999999999,2479.3552000000013,92.97582000000007,222.74000000000004,0.9167312161115414,215.0,56.291666666666664,22.516666666666666,81.0
Q Learning,test,34,860.3704319999999,4140.7440000000015,2781.2456000000016,100.06427999999998,272.468,0.9134868421052632,263.0,60.583333333333336,25.258333333333333,72.0
Q Learning,test,35,1020.5015400000004,3875.6760000000013,2472.9320000000016,84.82753200000002,184.40800000000002,0.9372797744890768,178.0,51.358333333333334,22.458333333333332,65.0
Q Learning,test,36,821.2736759999999,3698.076000000001,2530.7408000000014,89.31459600000002,145.04000000000002,0.9481097108969607,140.0,54.075,22.983333333333334,69.0
Q Learning,test,37,558.3336200000003,4002.364000000001,2479.355200000002,41.22317999999999,810.152,0.7730702263493906,782.0,24.958333333333332,22.516666666666666,76.0
Q Learning,test,38,921.4154680000004,3974.687999999999,2601.396000000002,75.68823600000002,256.928,0.9156462585034013,248.0,45.825,23.625,83.0
Q Learning,test,39,484.3028160000003,3431.3799999999997,2440.816000000001,94.42104,295.26,0.8907627443464929,285.0,57.166666666666664,22.166666666666668,76.0
