episode,algorithm,alpha,gamma,epsilon_min,epsilon_decay,epsilon,return,fill_rate,lost_sales,avg_inventory
56,q_learning,0.2,0.99,0.03,0.999,0.9455126435024219,118.06357600000003,0.9186327888687236,269.0,72.15
57,q_learning,0.2,0.99,0.03,0.999,0.9445671308589194,-409.0815279999997,1.0,0.0,104.06666666666666
58,q_learning,0.2,0.99,0.03,0.999,0.9436225637280605,1015.4745400000002,0.8959537572254336,432.0,50.958333333333336
59,q_learning,0.2,0.99,0.03,0.999,0.9426789411643325,-510.7432079999994,0.7385757364880539,1127.0,50.833333333333336
60,q_learning,0.2,0.99,0.03,0.999,0.9417362622231682,6.627032000000065,0.9764320785597381,72.0,88.66666666666667
61,q_learning,0.2,0.99,0.03,0.999,0.9407945259609449,479.7427360000002,0.881544156530936,448.0,64.41666666666667
62,q_learning,0.2,0.99,0.03,0.999,0.9398537314349841,290.1228120000003,0.8115690168818273,759.0,54.525
63,q_learning,0.2,0.99,0.03,0.999,0.9389138777035491,111.14901600000017,0.8561088592935727,497.0,65.33333333333333
64,q_learning,0.2,0.99,0.03,0.999,0.9379749638258454,211.13515199999995,0.8470188284518828,585.0,60.5
65,q_learning,0.2,0.99,0.03,0.999,0.9370369888620197,-453.1301519999998,1.0,0.0,102.85
66,q_learning,0.2,0.99,0.03,0.999,0.9360999518731576,86.75978800000024,0.8243117847200743,568.0,67.14166666666667
67,q_learning,0.2,0.99,0.03,0.999,0.9351638519212845,-56.3132719999997,0.9768185451638689,58.0,97.4
68,q_learning,0.2,0.99,0.03,0.999,0.9342286880693632,259.35543200000006,0.8511173184357542,533.0,64.98333333333333
69,q_learning,0.2,0.99,0.03,0.999,0.9332944593812939,256.7165440000003,0.9409605383909453,193.0,75.55
70,q_learning,0.2,0.99,0.03,0.999,0.9323611649219126,421.9782,0.7888703626511047,1013.0,42.05
71,q_learning,0.2,0.99,0.03,0.999,0.9314288037569907,-99.95795999999983,0.8968641114982578,296.0,87.43333333333334
72,q_learning,0.2,0.99,0.03,0.999,0.9304973749532336,-565.5388999999999,0.9551665243381725,105.0,93.70833333333333
73,q_learning,0.2,0.99,0.03,0.999,0.9295668775782804,386.49544000000026,0.8807339449541285,403.0,58.0
74,q_learning,0.2,0.99,0.03,0.999,0.9286373107007021,598.7470840000003,0.8857682959762355,423.0,63.65833333333333
75,q_learning,0.2,0.99,0.03,0.999,0.9277086733900014,1116.8217600000003,0.9059505799293999,373.0,56.6
76,q_learning,0.2,0.99,0.03,0.999,0.9267809647166114,566.6401920000002,0.9195046439628483,286.0,73.7
77,q_learning,0.2,0.99,0.03,0.999,0.9258541837518948,382.7413480000005,0.8206341694273545,758.0,42.358333333333334
78,q_learning,0.2,0.99,0.03,0.999,0.9249283295681429,274.0353320000002,0.7464239271781534,1170.0,36.55833333333333
79,q_learning,0.2,0.99,0.03,0.999,0.9240034012385747,303.3564680000003,0.8533026113671275,573.0,62.84166666666667
80,q_learning,0.2,0.99,0.03,0.999,0.9230793978373362,-359.12168,0.6375217139548349,1878.0,11.833333333333334
81,q_learning,0.2,0.99,0.03,0.999,0.9221563184394989,329.9322600000002,0.7373716632443532,1279.0,27.575
82,q_learning,0.2,0.99,0.03,0.999,0.9212341621210594,289.43424800000025,0.8925346177001806,357.0,69.21666666666667
83,q_learning,0.2,0.99,0.03,0.999,0.9203129279589383,-139.45847199999992,1.0,0.0,96.65
84,q_learning,0.2,0.99,0.03,0.999,0.9193926150309794,114.05045200000032,0.8042926378952228,848.0,48.975
85,q_learning,0.2,0.99,0.03,0.999,0.9184732224159483,-58.89038799999978,0.8412929528246942,545.0,63.525
86,q_learning,0.2,0.99,0.03,0.999,0.9175547491935324,137.94020800000018,0.8485971413446268,572.0,59.2
87,q_learning,0.2,0.99,0.03,0.999,0.9166371944443389,1079.7597519999997,0.8480392156862745,682.0,33.15
88,q_learning,0.2,0.99,0.03,0.999,0.9157205572498945,463.08991600000013,0.9527983816587997,140.0,73.075
89,q_learning,0.2,0.99,0.03,0.999,0.9148048366926447,-42.35863999999951,0.9042132982225148,291.0,80.18333333333334
90,q_learning,0.2,0.99,0.03,0.999,0.913890031855952,-109.89413199999987,0.9682735887927483,77.0,82.60833333333333
91,q_learning,0.2,0.99,0.03,0.999,0.912976141824096,16.621972000000127,0.988463123197363,28.0,91.525
92,q_learning,0.2,0.99,0.03,0.999,0.912063165682272,223.01692800000015,0.8650488310150932,456.0,64.88333333333334
93,q_learning,0.2,0.99,0.03,0.999,0.9111511025165897,680.3332159999999,0.8097316168448614,872.0,37.45
94,q_learning,0.2,0.99,0.03,0.999,0.9102399514140731,-380.9877079999998,0.830026455026455,514.0,77.225
95,q_learning,0.2,0.99,0.03,0.999,0.9093297114626591,453.29907600000007,0.8168542015800814,765.0,56.44166666666667
96,q_learning,0.2,0.99,0.03,0.999,0.9084203817511963,71.60924400000025,0.7853225385218072,822.0,52.65833333333333
97,q_learning,0.2,0.99,0.03,0.999,0.9075119613694451,94.99497600000014,0.943222143364088,160.0,85.56666666666666
98,q_learning,0.2,0.99,0.03,0.999,0.9066044494080757,152.6509000000002,0.9650157232704403,89.0,84.60833333333333
99,q_learning,0.2,0.99,0.03,0.999,0.9056978449586677,-13.10833599999987,0.8384081196581197,605.0,61.8
100,q_learning,0.2,0.99,0.03,0.999,0.9047921471137089,-299.07776799999976,0.9937862468931234,15.0,93.75
