algorithm,alpha,gamma,epsilon_decay,epsilon_min,episodes,seeds,validation_return_mean,validation_return_std,validation_fill_rate_mean
sarsa,0.2,0.95,0.999,0.05,600,3,-859.2257810666666,385.58981275277705,0.4320707422270727
sarsa,0.1,0.99,0.999,0.03,600,3,-872.6647528666666,135.98783246548393,0.44025602127740376
sarsa,0.1,0.99,0.999,0.05,600,3,-872.6647528666666,135.98783246548393,0.44025602127740376
q_learning,0.05,0.99,0.999,0.03,600,3,-897.4157589333332,182.48033301485574,0.4264707261053306
q_learning,0.05,0.99,0.999,0.05,600,3,-897.4157589333332,182.48033301485574,0.4264707261053306
q_learning,0.05,0.95,0.999,0.03,600,3,-952.4559011999999,302.7562203717861,0.3888982171741113
q_learning,0.05,0.95,0.999,0.05,600,3,-952.4559011999999,302.7562203717861,0.3888982171741113
q_learning,0.05,0.9,0.999,0.03,600,3,-1183.5232738,159.0602156908005,0.347367097279502
q_learning,0.05,0.9,0.999,0.05,600,3,-1183.5232738,159.0602156908005,0.347367097279502
sarsa,0.1,0.95,0.999,0.03,600,3,-1297.69264,465.782010166809,0.31073124029785837
sarsa,0.1,0.95,0.999,0.05,600,3,-1297.69264,465.782010166809,0.31073124029785837
sarsa,0.05,0.99,0.999,0.03,600,3,-1304.8629248666664,273.7109786605676,0.32278985944905864
sarsa,0.05,0.99,0.999,0.05,600,3,-1304.8629248666664,273.7109786605676,0.32278985944905864
sarsa,0.1,0.9,0.999,0.03,600,3,-1369.3855017999997,452.47218037504564,0.3038229383700299
sarsa,0.1,0.9,0.999,0.05,600,3,-1369.3855017999997,452.47218037504564,0.3038229383700299
sarsa,0.05,0.9,0.999,0.03,600,3,-1393.3412018,283.72925185550974,0.2971619115581339
sarsa,0.05,0.9,0.999,0.05,600,3,-1393.3412018,283.72925185550974,0.2971619115581339
sarsa,0.05,0.95,0.999,0.05,600,3,-1534.3382946666663,192.43593261564712,0.2304138444993233
sarsa,0.05,0.95,0.999,0.03,600,3,-1534.3382946666663,192.43593261564712,0.2304138444993233
